Dátum,Felhasználók teljes száma,Munkamenetek
2024. szept. 18.,386,437
2024. szept. 19.,331,379
2024. szept. 20.,302,337
2024. szept. 21.,308,348
2024. szept. 22.,387,435
2024. szept. 23.,411,463
2024. szept. 24.,394,438
2024. szept. 25.,329,367
2024. szept. 26.,368,425
2024. szept. 27.,314,348
2024. szept. 28.,292,333
2024. szept. 29.,329,379
2024. szept. 30.,320,356
2024. okt. 1.,365,421
2024. okt. 2.,355,393
2024. okt. 3.,365,406
2024. okt. 4.,311,338
2024. okt. 5.,303,329
2024. okt. 6.,386,439
2024. okt. 7.,392,436
2024. okt. 8.,400,437
2024. okt. 9.,452,515
2024. okt. 10.,631,770
2024. okt. 11.,506,592
2024. okt. 12.,526,595
2024. okt. 13.,677,780
2024. okt. 14.,326,365
2024. okt. 15.,367,407
2024. okt. 16.,302,343
2024. okt. 17.,324,359
2024. okt. 18.,285,318
